Sample;Site;Location;Time;Diameter;Leaf_length;Flower_num;SLA;DW;LMA;W;%N;%C;%H
A_Qua1;Mainland;A;March;23;10.3;6;14.85;0.292;0.0196633;2.676;0.82;36.83;5.63
A_Qua2;Mainland;A;March;34;17;36;34.18;0.2968;0.008683441;2.62;1.02;36.62;5.53
A_Qua3;Mainland;A;March;43;10;23;1.39;0.0747;0.053741007;2.819;1.12;34.15;5.17
A_Qua4;Mainland;A;March;31.5;4.3;25;4.26;0.0291;0.006830986;2.502;0.6;38.05;5.98
A_Qua5;Mainland;A;March;26;14;5;17.84;0.2214;0.012410314;2.632;1.04;34.69;5.12
A_Qua6;Mainland;A;April;38.5;18.5;37;25.18;0.2857;0.011346307;2.132;1.38;26.87;3.96
A_Qua7;Mainland;A;April;100;11;22;20.46;0.0756;0.003695015;1.977;0.87;26.27;3.85
A_Qua8;Mainland;A;April;52;3.7;0;3.73;0.0204;0.005469169;2.024;1.34;25.53;3.77
A_Qua9;Mainland;A;April;32;13;2;24.29;0.3703;0.015244957;2.117;1.41;27.72;4.07
A_Qua10;Mainland;A;April;42;23.5;40;44.23;0.3701;0.008367624;2.471;1.98;28.41;4.11
A_Qua11;Mainland;A;May;32;9.5;17;13.09;0.057;0.004354469;2.046;2.04;34.02;4.99
A_Qua12;Mainland;A;May;58.7;3.5;3;3.15;0.013;0.004126984;2.794;2.65;34.76;5.03
A_Qua13;Mainland;A;May;10.5;6.3;1;5.75;0.0827;0.014382609;1.977;1.49;32.05;4.64
A_Qua14;Mainland;A;May;37;22.5;17;52.68;0.3148;0.005975702;2.37;0.75;31.39;4.72
A_Qua15;Mainland;A;May;28.5;12;6;12.67;0.2873;0.022675612;2.917;2.53;31.46;4.97
A_Qua17;Mainland;A;June;15.2;9.7;5;7.34;0.0783;0.010667575;2.402;2.96;34.33;5.01
A_Qua18;Mainland;A;June;30;13.5;50;24.48;0.1122;0.004583333;;;;
A_Qua19;Mainland;A;June;72;23.8;62;54.7;0.764;0.013967093;1.845;3.79;39.08;6.12
A_Qua20;Mainland;A;June;44;6;2;5.59;0.0197;0.00352415;0.859;1.38;35;5.08
B_Qua21;Mainland;B;March;72.5;21;23;32.98;0.3589;0.010882353;2.737;1.15;38.08;5.54
B_Qua22;Mainland;B;March;112;27;21;61.18;0.3;0.004903563;2.932;1.71;37.63;5.62
B_Qua23;Mainland;B;March;165;19.5;31;37.91;0.159;0.004194144;2.69;1.51;35.16;5.11
B_Qua24;Mainland;B;March;35.6;8.4;26;9.4;0.0444;0.004723404;2.637;1.69;38.57;5.61
B_Qua25;Mainland;B;March;32;11;17;15.64;0.1257;0.008037084;2.357;1.75;35.8;5.37
B_Qua26;Mainland;B;April;156;31;30;92.7;0.7304;0.00787918;2.12;2.76;35.89;4.93
B_Qua27;Mainland;B;April;88;44;50;98.75;0.7511;0.007606076;2.642;1.6;38.37;5.46
B_Qua28;Mainland;B;April;14.8;6.5;17;9.01;0.0436;0.004839068;2.368;1.6;37.12;5.31
B_Qua29;Mainland;B;April;37;11.5;21;21.05;0.1855;0.008812352;2.036;2.39;37.61;5.19
B_Qua30;Mainland;B;April;41;17.5;25;37.78;0.164;0.004340921;2.688;2.02;38.18;5.43
B_Qua31;Mainland;B;May;172;25.5;45;42.8;0.252;0.00588785;2.574;2.46;38;5.95
B_Qua33;Mainland;B;May;39;15;10;18.32;0.1624;0.008864629;2.433;1.36;37.81;5.31
B_Qua34;Mainland;B;May;82;27;22;49.29;0.3256;0.006605802;2.061;1.95;36.15;5.04
B_Qua35;Mainland;B;May;102;22.2;32;45.34;0.3148;0.006943097;2.664;2;36.63;5.37
B_Qua36;Mainland;B;May;22.3;10.4;23;10.45;0.0451;0.004315789;2.425;2.49;37.31;6.08
B_Qua37;Mainland;B;June;77.5;39.5;2;89.73;0.9494;0.010580631;2.179;3.09;36.85;5.46
B_Qua38;Mainland;B;June;45;24.5;15;41.75;0.2287;0.005477844;2.532;3.88;37.43;5.45
C_Qua41;Mainland;C;March;42;21.5;3;80.3;0.3388;0.004219178;2.601;1.46;33.03;4.98
C_Qua42;Mainland;C;March;56;17;27;30.35;0.1618;0.005331137;2.705;1.44;33.22;5.08
C_Qua43;Mainland;C;March;64;17;26;36.62;0.1794;0.004898962;2.782;0.92;32.55;4.9
C_Qua44;Mainland;C;March;60;13.4;5;26.29;0.1664;0.006329403;2.991;1.62;34.71;5.19
C_Qua45;Mainland;C;March;37.6;21.5;7;32.34;0.269;0.008317873;2.559;2.03;25.33;3.66
C_Qua46;Mainland;C;April;72;22;28;48.13;0.2812;0.00584251;2.428;1.91;36.51;5.12
C_Qua47;Mainland;C;April;43;11.5;14;23.97;0.1276;0.005323321;2.042;1.73;36.72;5.11
C_Qua48;Mainland;C;April;29.7;14.5;4;26.52;0.2698;0.010173454;2.117;1.44;31.46;4.49
C_Qua49;Mainland;C;April;28.5;14;8;17.54;0.0925;0.00527366;2.018;1.43;33.94;4.87
C_Qua50;Mainland;C;April;37.5;18;7;53.52;0.3007;0.00561846;2.367;1.43;36.71;5.21
C_Qua51;Mainland;C;May;62;12.3;8;16.03;0.0806;0.005028072;2.696;1.71;32.39;4.75
C_Qua52;Mainland;C;May;64;13.3;5;23.61;0.2385;0.010101652;2.26;1.43;30.38;4.48
C_Qua53;Mainland;C;May;29;15;1;18.57;0.114;0.006138934;2.227;1.07;29.09;4.1
C_Qua54;Mainland;C;May;37;21;26;66.37;0.3543;0.005338255;2.601;1.46;31.16;4.57
C_Qua55;Mainland;C;May;59;15;11;33.87;0.2026;0.005981695;2.657;0.94;31.8;4.74
C_Qua56;Mainland;C;June;27.9;11.6;2;12.81;0.0773;0.006034348;1.863;2.25;38.81;5.98
C_Qua57;Mainland;C;June;37;12;6;20.66;0.1853;0.008969022;2.818;1.51;30.64;4.56
C_Qua58;Mainland;C;June;65;22.5;25;95.25;0.6133;0.006438845;2.398;1.16;30.24;4.5
C_Qua59;Mainland;C;June;76;17.5;5;26.05;0.1762;0.006763916;2.193;2.16;42.3;6.26
C_Qua60;Mainland;C;June;61.4;8.6;4;15.98;0.2068;0.012941176;2.552;3.19;32.13;4.68
D_Qua61;Mainland;D;March;27.5;12;10;13.44;0.0808;0.006011905;2.712;1.32;36.41;5.35
D_Qua62;Mainland;D;March;29;13;20;23.32;0.1258;0.005394511;2.559;1.83;33.65;4.93
D_Qua63;Mainland;D;March;41.5;18.5;21;23.4;0.109;0.00465812;2.739;1.81;34.77;5.14
D_Qua64;Mainland;D;March;12;14.4;2;14.13;0.1376;0.009738146;2.653;1.61;36.24;5.38
D_Qua65;Mainland;D;March;119;34;8;141.01;1.0294;0.007300191;2.751;2.05;36.11;5.29
D_Qua66;Mainland;D;April;101;30.5;18;74.4;0.4762;0.006400538;2.062;1.1;35.01;4.96
D_Qua67;Mainland;D;April;102;23.5;56;59.81;0.2554;0.004270189;2.151;1.51;32.21;4.72
D_Qua68;Mainland;D;April;43.5;12.5;6;12.5;0.0946;0.007568;2.63;1.8;33.77;5.04
D_Qua69;Mainland;D;April;71.5;37;4;69.52;0.7153;0.010289125;2.566;1.97;34.7;4.96
D_Qua70;Mainland;D;April;72.2;35.1;26;81.29;0.413;0.005080576;2.518;1.09;31.09;4.81
D_Qua71;Mainland;D;May;140;16;24;52.31;0.1954;0.003735423;2.448;2.52;36.61;5.29
D_Qua73;Mainland;D;May;31;17;2;60.16;0.5818;0.009670878;2.618;2.7;37.13;5.38
D_Qua74;Mainland;D;May;71;40.5;19;120.83;0.8242;0.006821154;2.883;2.32;36.24;5.25
D_Qua75;Mainland;D;May;82;18;19;46.06;0.2163;0.004696049;2.307;1.93;36.41;5.34
D_Qua76;Mainland;D;May;58;30;2;56.27;0.4892;0.008693798;2.202;2.06;32.05;4.58
D_Qua77;Mainland;D;June;63;34.4;24;70.24;0.3832;0.005455581;2.19;2.7;36.73;5.49
D_Qua78;Mainland;D;June;99;14.4;16;22.67;0.1034;0.004561094;2.351;2.54;37.22;5.44
E_Qua79;Mainland;E;March;56;32.5;0;72.77;0.5355;0.007358802;;;;
E_Qua80;Mainland;E;March;56;24;12;55.62;0.2209;0.003971593;;;;
E_Qua81;Mainland;E;March;74;37.5;13;76.49;0.5887;0.007696431;2.633;1.96;35.5;5.28
E_Qua82;Mainland;E;March;34;19.3;8;13.82;0.1522;0.011013025;2.514;2.06;36.42;5.31
E_Qua83;Mainland;E;March;55;32.6;0;83.98;0.5476;0.0065206;2.55;1.9;37.56;5.61
E_Qua85;Mainland;E;April;50;14;13;42.23;0.0645;0.00152735;2.739;1.57;36.53;5.45
E_Qua86;Mainland;E;April;35;14;10;16.05;0.122;0.007601246;2.089;1.59;36.02;5.1
E_Qua87;Mainland;E;April;50.5;20.4;0;75.6;0.6221;0.008228836;2.258;2.2;35.45;4.9
E_Qua88;Mainland;E;April;42.5;16.3;18;34.68;0.1649;0.004754902;2.773;1.03;36.89;5.34
E_Qua89;Mainland;E;April;50;10.6;17;20.94;0.0646;0.003085005;2.688;1.47;38.14;5.65
E_Qua90;Mainland;E;May;31;18.4;9;14.19;0.146;0.010288936;2.465;1.41;36.2;5.14
E_Qua91;Mainland;E;May;51.5;28.5;0;35.89;0.2539;0.007074394;2.287;2.86;31.35;4.7
E_Qua92;Mainland;E;May;53.5;23;16;74.73;0.3915;0.00523886;1.15;1.56;31.43;4.43
E_Qua93;Mainland;E;May;21.5;12;4;20.83;0.0876;0.004205473;1.002;2.77;36.63;5.05
E_Qua94;Mainland;E;May;65;23.3;22;28.23;0.2551;0.009036486;1.77;1.54;35.98;4.91
E_Qua95;Mainland;E;June;55;28;0;51.43;0.3954;0.00768812;;;;
E_Qua96;Mainland;E;June;59;12.5;3;27.01;0.1089;0.00403184;2.363;0.98;34.77;5.35
E_Qua98;Mainland;E;June;35;21.5;6;32.02;0.2795;0.008728919;2.53;3.1;30.15;4.25
F_Qua1;Insular;F;March;46;29;8;32.15;0.3407;0.010597201;2.71;1.22;33.41;5.21
F_Qua2;Insular;F;March;46.5;14.5;22;15.94;0.0877;0.005501882;2.633;1.04;33.4;4.88
F_Qua3;Insular;F;March;92;12.7;13;11.94;0.1448;0.012127303;2.806;1.08;34.43;5.12
F_Qua4;Insular;F;March;95;12;17;8.16;0.0966;0.011838235;2.98;1.1;38.88;6
F_Qua5;Insular;F;March;40;29;44;22.85;0.2032;0.008892779;2.837;1.28;36.01;5.24
F_Qua6;Insular;F;April;63;16;5;23.01;0.2408;0.010465015;2.293;2.69;33.79;4.89
F_Qua7;Insular;F;April;38;5.6;5;1.78;0.0176;0.00988764;2.349;1.23;31.92;4.74
F_Qua8;Insular;F;April;43;15;6;7.5;0.0896;0.011946667;2.001;1.94;37.26;5.15
F_Qua9;Insular;F;April;72.5;29;22;45.84;0.4175;0.009107766;2.2;1.52;31.68;4.68
F_Qua10;Insular;F;April;56.9;9;29;7.11;0.0492;0.006919831;2.327;1.29;33.78;4.86
F_Qua11;Insular;F;May;22;4.6;4;2.89;0.021;0.007266436;2.337;2.21;36.82;5.15
F_Qua12;Insular;F;May;56;14.6;8;13.06;0.0836;0.006401225;;;;
F_Qua13;Insular;F;May;28.5;14.6;11;26.09;0.3121;0.011962438;0.169;2.19;38.96;4.82
F_Qua14;Insular;F;May;90;29;5;69.74;0.5322;0.007631202;;;;
F_Qua15;Insular;F;May;16.5;6;2;3.49;0.02;0.005730659;0.258;1.5;30.69;3.73
F_Qua16;Insular;F;June;45.5;23.5;12;46.08;0.4615;0.010015191;2.596;2.8;35.68;5.68
F_Qua17;Insular;F;June;66.5;22.5;11;48.47;0.3478;0.007175573;2.098;2.83;35.07;4.95
F_Qua18;Insular;F;June;39;5.7;12;3.38;0.0254;0.007514793;2.236;2.27;34.04;5.02
G_Qua19;Insular;G;March;22;10.5;21;17.73;0.0907;0.005115623;;;;
G_Qua20;Insular;G;March;130;22.5;13;85.37;0.606;0.007098512;;;;
G_Qua21;Insular;G;March;29;12.5;4;8.9;0.0494;0.005550562;2.866;1.94;36.33;4.87
G_Qua23;Insular;G;March;26.2;13.5;7;17.89;0.1052;0.00588038;2.702;1.68;35.44;5.13
G_Qua24;Insular;G;March;84;20.5;1;47.78;0.3226;0.006751779;2.592;1.14;34.71;5.19
G_Qua26;Insular;G;April;28;9;3;8.34;0.0388;0.004652278;2.623;1.16;31.63;4.58
G_Qua27;Insular;G;April;38;21.5;3;25.29;0.2286;0.009039146;2.857;1.45;34.77;4.98
G_Qua28;Insular;G;April;67.5;17.2;11;56.5;0.3565;0.006309735;2.761;1.88;33.19;4.73
G_Qua30;Insular;G;April;27;10.3;2;7.88;0.0452;0.005736041;2.873;1.38;36.13;5.22
G_Qua31;Insular;G;April;29;14.6;12;12;0.0834;0.00695;2.972;1.57;31.5;4.52
G_Qua32;Insular;G;May;67;16;14;43.81;0.2408;0.005496462;2.435;3.59;33.72;4.85
G_Qua33;Insular;G;May;34;13;8;19.23;0.0883;0.004591784;2.941;2.48;31.79;4.61
G_Qua35;Insular;G;May;24.8;11.5;5;14.33;0.0837;0.005840893;2.899;2.52;32.47;4.79
G_Qua36;Insular;G;May;60;7.8;18;8.37;0.0484;0.005782557;2.371;2.06;30.87;4.5
G_Qua38;Insular;G;May;30;9.9;7;12.36;0.0523;0.004231392;2.572;1.94;32.22;4.66
H_Qua39;Insular;H;March;38.5;21;2;37.91;0.2602;0.006863624;2.385;1.97;33.07;4.85
H_Qua40;Insular;H;March;33.5;17.5;20;31.56;0.2176;0.006894804;2.363;2.07;31.53;4.69
H_Qua41;Insular;H;March;24.5;13.5;6;13.51;0.1011;0.007483346;2.278;2.09;34.54;5.01
H_Qua42;Insular;H;March;20.5;7.5;8;4.5;0.0498;0.011066667;2.628;1.5;34.6;5.07
H_Qua43;Insular;H;March;41;23.4;8;43.87;0.3132;0.007139275;2.759;1.69;35.84;5.38
H_Qua44;Insular;H;April;48.5;15.5;32;34.24;0.1691;0.004938668;2.787;1.59;37.03;5.58
H_Qua45;Insular;H;April;20.5;10.3;2;10.61;0.092;0.008671065;2.874;1.29;38.13;5.77
H_Qua46;Insular;H;April;26.5;14;4;13.43;0.1615;0.012025316;2.134;1.17;34.6;5.08
H_Qua47;Insular;H;April;14.7;11.4;2;13.83;0.0669;0.00483731;2.317;1.16;35.04;5.1
H_Qua48;Insular;H;April;22.1;13;15;12.35;0.1051;0.008510121;2.158;1.67;35.18;5.05
H_Qua49;Insular;H;May;14;6;6;4.98;0.268;0.053815261;2.297;1.31;32.43;4.67
H_Qua51;Insular;H;May;27;13;4;17.18;0.2472;0.014388824;2.32;2.24;32.18;4.81
H_Qua52;Insular;H;May;52.5;16.5;17;44.43;0.1974;0.004442944;2.817;2.83;34.58;4.95
H_Qua53;Insular;H;May;12;6.5;10;2.98;0.0177;0.005939597;2.149;1.66;30.75;4.52
H_Qua54;Insular;H;May;25.8;15.8;0;27.43;0.2399;0.008745899;1.412;1.61;32.29;5.18
H_Qua55;Insular;H;June;60.3;10;42;36.72;0.1506;0.004101307;2.489;2.3;35.56;5.62
H_Qua56;Insular;H;June;27.5;8.3;11;9.47;0.0653;0.006895459;2.596;3.05;37.17;6.22
I_Qua57;Insular;I;March;23;14;34;12.39;0.1049;0.008466505;1.955;1.63;33.6;5.47
I_Qua58;Insular;I;March;17;6;21;4.37;0.0381;0.008718535;2.638;2.71;35.13;5.02
I_Qua59;Insular;I;March;19;9.3;8;6.83;0.0795;0.011639824;;;;
I_Qua60;Insular;I;March;21;11.5;6;12.07;0.1654;0.013703397;;;;
I_Qua61;Insular;I;March;39;10.1;4;17.52;0.052;0.002968037;2.724;1.03;34.94;5.25
I_Qua62;Insular;I;April;23;8.4;15;7.79;0.0746;0.00957638;2.734;0.87;37.85;5.89
I_Qua63;Insular;I;April;14.5;8;3;7.17;0.0772;0.010767085;2.697;0.93;38.98;5.9
I_Qua64;Insular;I;April;20.8;8.4;6;11.68;0.0564;0.004828767;2.51;1.78;33.61;5.02
I_Qua65;Insular;I;April;21;7.8;17;5.3;0.0275;0.005188679;2.059;1.46;37.43;5.57
I_Qua66;Insular;I;April;57;34;1;80.56;0.8635;0.010718719;0.688;2.81;36.01;4.92
I_Qua67;Insular;I;May;30.5;14.7;8;23.91;0.1641;0.006863237;1.011;2.77;31.02;4.26
I_Qua68;Insular;I;May;25;6.5;14;3.71;0.092;0.024797844;1.828;2.98;34.91;4.93
I_Qua69;Insular;I;May;15.5;8.1;7;7.11;0.0635;0.008931083;2.654;1.11;33.4;5
I_Qua70;Insular;I;May;28;18;7;34.95;0.2457;0.007030043;2.481;1.36;30.18;4.8
I_Qua71;Insular;I;May;18;5.7;8;2.87;0.0211;0.007351916;2.623;2.02;34.95;5.01
J_Qua72;Insular;J;March;10.5;4;4;2.96;0.0511;0.017263514;1.919;1.63;38.63;5.6
J_Qua73;Insular;J;March;41.5;24.6;24;53.13;0.4223;0.007948428;2.022;2.6;34.23;5.55
J_Qua74;Insular;J;March;17;7;4;3.01;0.031;0.010299003;1.427;2.74;35.29;5.56
J_Qua75;Insular;J;March;20.5;11.5;4;11.81;0.177;0.014987299;1.057;2.57;35.98;5.24
J_Qua76;Insular;J;March;36.5;16;1;19.67;0.1412;0.007178444;;;;
J_Qua77;Insular;J;April;14;4.3;1;3.07;0.0304;0.00990228;;;;
J_Qua78;Insular;J;April;16;9;21;11.45;0.1646;0.014375546;;;;
J_Qua79;Insular;J;April;50;22.4;7;39.87;0.3955;0.009919739;;;;
J_Qua80;Insular;J;April;20.5;4.6;1;3.05;0.0324;0.010622951;;;;
J_Qua81;Insular;J;April;58;34;24;64.41;0.6856;0.01064431;2.653;0.78;40.34;6.19
J_Qua82;Insular;J;May;32;16.5;3;44.71;0.2184;0.004884813;2.311;0.78;35.39;5.33
J_Qua83;Insular;J;May;7.5;2.8;3;1.02;0.0097;0.009509804;2.548;0.93;34.76;5.31
J_Qua84;Insular;J;May;45.5;23.5;0;45.69;0.5246;0.011481725;2.798;1.53;32.21;4.98
J_Qua85;Insular;J;May;14.5;5.5;2;4.94;0.0529;0.010708502;2.772;1.19;34.31;5.29
J_Qua86;Insular;J;May;9.6;4.1;2;1.73;0.0208;0.012023121;2.548;1.22;31.36;4.87